"payment_month","user_id","new_users","user_revenue","new_revenue","churned_users","churned_revenue","returned_users","back_from_churn_revenue","expansion_mrr","contraction_mrr","customer_lifetime","customer_lifetime_value","game_name","language","has_older_device_model","age","age_groups"
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==","3iITAz/ADjFv3PDTgTjxSg==",23.76,23.76,,,,,,,166,321.60,game 3,ru,false,16,"14-17"
2022-03-01,"4b7l8C489HEJirtoe7xtFg==","4b7l8C489HEJirtoe7xtFg==",27.15,27.15,,,,,,,275,268.41,game 3,uk,true,20,"18-24"
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==","4btLP2zvi8eBV0t08fdkKQ==",17.79,17.79,,,,,,,261,467.37,game 3,ru,false,20,"18-24"
2022-03-01,"72brUr/DKItStlTen5pHYg==","72brUr/DKItStlTen5pHYg==",24.15,24.15,,,,,,,227,262.56,game 3,uk,false,24,"18-24"
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==","75lEf3nSWLSf6GncqhR9gQ==",14.1,14.1,,,,,,,178,288.21,game 3,ru,false,22,"18-24"
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==","787jk0VnxM8/sv/0TkvO6A==",48.45,48.45,,,,,,,270,470.73,game 3,uk,false,20,"18-24"
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==","7EPlnA7OQ9MhMx+od6FA9g==",158.67,158.67,,,,,,,294,440.16,game 3,ru,false,23,"18-24"
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==","7GE5h/3N3lcro3K9T3aujw==",38.52,38.52,,,,,,,215,722.67,game 3,ru,false,32,"31-35"
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==","7SeM1pmnTTTXfhI+x3ldng==",34.74,34.74,,,,,,,279,501.48,game 3,ru,false,22,"18-24"
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==","99X4aLWWjAIgmlXjrXQIgg==",16.98,16.98,"99X4aLWWjAIgmlXjrXQIgg==",16.98,,,,,1,16.98,game 3,ru,false,22,"18-24"
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,A1qVjssGQ+ZUWZu3Z5DzTA==,45.27,45.27,,,,,,,238,331.26,game 3,uk,false,24,"18-24"
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,AN9at3LlvDamqXq8dvHD4w==,42.03,42.03,,,,,,,295,455.70,game 3,ru,false,24,"18-24"
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,b3TBQFxyCxxypmPajF+jXw==,13.98,13.98,,,,,,,76,128.79,game 3,uk,true,15,"14-17"
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,B4b6v6eUHvAVOeAQk6EEiw==,15.3,15.3,,,,,,,256,385.41,game 3,ru,false,23,"18-24"
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,Bcs3CbYx2EpbL9otxlEUmg==,89.22,89.22,,,,,,,238,504.15,game 3,uk,true,18,"18-24"
2022-03-01,CCwTMcGtpirFFuqzSeTyaQ==,CCwTMcGtpirFFuqzSeTyaQ==,15.84,15.84,,,,,,,34,36.60,game 3,uk,false,18,"18-24"
2022-03-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,Fx9+2aYPOHAS3fdXpLQ9Pg==,12.54,12.54,,,,,,,50,44.10,game 3,ru,false,35,"31-35"
2022-03-01,Ghk2iJmzSUW4qLsmJgwOcw==,Ghk2iJmzSUW4qLsmJgwOcw==,17.13,17.13,,,,,,,279,696.72,game 3,uk,false,16,"14-17"
2022-03-01,H44DjZG42orzuBXLai7JkA==,H44DjZG42orzuBXLai7JkA==,13.32,13.32,H44DjZG42orzuBXLai7JkA==,13.32,,,,,1,13.32,game 3,ru,false,29,"25-30"
2022-03-01,HJccOn6v5KHqBa8wRu42oQ==,HJccOn6v5KHqBa8wRu42oQ==,27.6,27.6,,,,,,,200,99.78,game 3,uk,false,20,"18-24"
2022-03-01,HxWcXHURvvtOJkrXAcDxQg==,HxWcXHURvvtOJkrXAcDxQg==,66.18,66.18,,,,,,,301,612.63,game 3,uk,false,15,"14-17"
2022-03-01,iFFApiXZ2wPdS666BLpKZw==,iFFApiXZ2wPdS666BLpKZw==,26.85,26.85,,,,,,,191,248.28,game 3,uk,false,18,"18-24"
2022-03-01,J6WNl39fdxaY8ZtvV8wNkw==,J6WNl39fdxaY8ZtvV8wNkw==,16.14,16.14,,,,,,,96,101.40,game 3,uk,true,18,"18-24"
2022-03-01,Jp0hnV9XOJGVV5jpFhlqgQ==,Jp0hnV9XOJGVV5jpFhlqgQ==,122.64,122.64,,,,,,,269,422.28,game 3,uk,false,25,"25-30"
2022-03-01,jVhb69DTRT5TSWYEiUrlbg==,jVhb69DTRT5TSWYEiUrlbg==,17.46,17.46,,,,,,,267,443.16,game 3,uk,false,20,"18-24"
2022-03-01,l3sFUsG2qpcnrEzwRnjvtQ==,l3sFUsG2qpcnrEzwRnjvtQ==,38.10,38.10,,,,,,,58,97.83,game 3,ru,false,15,"14-17"
2022-03-01,NMmQVq8bB84KydONJjvTfQ==,NMmQVq8bB84KydONJjvTfQ==,15.33,15.33,NMmQVq8bB84KydONJjvTfQ==,15.33,,,,,1,15.33,game 3,uk,true,18,"18-24"
2022-03-01,o55dseByUOl9s5IQCz1kuQ==,o55dseByUOl9s5IQCz1kuQ==,23.16,23.16,,,,,,,153,170.19,game 3,uk,false,22,"18-24"
2022-03-01,prNQwR2IPPsvGpFgOpcGaQ==,prNQwR2IPPsvGpFgOpcGaQ==,15.66,15.66,,,,,,,200,212.94,game 3,uk,false,14,"14-17"
2022-03-01,pz7LUOs9i7xgncmHVxQvOw==,pz7LUOs9i7xgncmHVxQvOw==,36.51,36.51,,,,,,,155,274.56,game 3,ru,false,24,"18-24"
2022-03-01,s27V1tbCAysovKSY1XcdWQ==,s27V1tbCAysovKSY1XcdWQ==,22.95,22.95,,,,,,,98,88.14,game 3,uk,false,34,"31-35"
2022-03-01,SyWxmJ+Ha8K2C9UJt8blVA==,SyWxmJ+Ha8K2C9UJt8blVA==,55.62,55.62,,,,,,,267,232.74,game 3,ru,false,25,"25-30"
2022-03-01,T+RA0/fgzbUBLF89D4AEDA==,T+RA0/fgzbUBLF89D4AEDA==,16.11,16.11,,,,,,,200,177.33,game 3,ru,false,23,"18-24"
2022-03-01,Uen3Ap0lnrgWVWJtFCSo7g==,Uen3Ap0lnrgWVWJtFCSo7g==,20.79,20.79,,,,,,,229,199.95,game 3,ru,false,17,"14-17"
2022-03-01,V7J42heW8l19wiBJ8UpRyw==,V7J42heW8l19wiBJ8UpRyw==,49.80,49.80,,,,,,,275,545.46,game 3,ru,false,25,"25-30"
2022-03-01,Veep00i4vvZbTAVD6GMoiA==,Veep00i4vvZbTAVD6GMoiA==,12.72,12.72,,,,,,,233,389.67,game 3,uk,false,38,"36-40"
2022-03-01,W6fRYNhsTNHQkvkoFEUaVQ==,W6fRYNhsTNHQkvkoFEUaVQ==,48.33,48.33,,,,,,,286,472.20,game 3,uk,false,16,"14-17"
2022-03-01,XE2e8BsmBo72HxABlJmsRw==,XE2e8BsmBo72HxABlJmsRw==,38.16,38.16,XE2e8BsmBo72HxABlJmsRw==,38.16,,,,,3,38.16,game 3,uk,false,20,"18-24"
2022-03-01,xiXTXOEbWU+HnGOUmgc9/w==,xiXTXOEbWU+HnGOUmgc9/w==,24.18,24.18,,,,,,,133,271.59,game 3,uk,false,20,"18-24"
2022-03-01,Y/nf8iBu/UCaNAuIRRjVwA==,Y/nf8iBu/UCaNAuIRRjVwA==,24.27,24.27,,,,,,,221,263.34,game 3,uk,false,15,"14-17"
2022-03-01,ZeMBdi9hmR0vUv+lyZiypQ==,ZeMBdi9hmR0vUv+lyZiypQ==,25.41,25.41,ZeMBdi9hmR0vUv+lyZiypQ==,25.41,,,,,2,25.41,game 3,uk,false,22,"18-24"
2022-03-01,ZmjMhgyYl6o8iFq964FEWg==,ZmjMhgyYl6o8iFq964FEWg==,54.60,54.60,,,,,,,264,433.83,game 3,ru,false,17,"14-17"
2022-03-01,zSepnWFgLH0tQb1s4mxKZQ==,zSepnWFgLH0tQb1s4mxKZQ==,23.01,23.01,,,,,,,278,335.01,game 3,uk,false,24,"18-24"
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==","06RPvlsFPCmM9ag+iSM/Ag==",12.03,12.03,,,,,,,237,227.79,game 3,ru,false,34,"31-35"
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==","2FYEYdoJMUOtbJ6TruruWA==",56.85,56.85,,,,,,,239,234.78,game 3,ru,false,20,"18-24"
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==","2Tm77AxZ7h7oCNKgCgMpnQ==",54.96,54.96,,,,,,,229,240.45,game 3,uk,false,23,"18-24"
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",,81.42,,,,,,57.66,,166,321.60,game 3,ru,false,16,"14-17"
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==","3Whh6FLR1MSfsuHKVdCEYQ==",59.67,59.67,,,,,,,253,171.57,game 3,uk,true,21,"18-24"
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",,14.94,,,,,,,-12.21,275,268.41,game 3,uk,true,20,"18-24"
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",,125.97,,,,,,108.18,,261,467.37,game 3,ru,false,20,"18-24"
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",,65.97,,,,,,51.87,,178,288.21,game 3,ru,false,22,"18-24"
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",,53.49,,,,,,5.04,,270,470.73,game 3,uk,false,20,"18-24"
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",,114.15,,,,,,,-44.52,294,440.16,game 3,ru,false,23,"18-24"
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",,58.20,,,,,,19.68,,215,722.67,game 3,ru,false,32,"31-35"
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==","7luG+f1d+Ri4AjeMbFR1Xw==",16.92,16.92,,,,,,,131,31.98,game 3,uk,false,29,"25-30"
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",,105.96,,,,,,71.22,,279,501.48,game 3,ru,false,22,"18-24"
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==","7zbxKst2yi3pfdVI8iEChw==",23.31,23.31,,,,,,,260,67.71,game 3,ru,false,15,"14-17"
